city,street,zip,state,beds,baths,sq__ft,type,sale_date,price,latitude,longitude
NORTH HIGHLANDS,5031 CORVAIR ST,95660,CA,3,2,1082,Residential,Wed May 21 00:00:00 EDT 2008,147308,38.658246000000005,-121.375469
SACRAMENTO,7661 NIXOS WAY,95823,CA,4,2,1472,Residential,Wed May 21 00:00:00 EDT 2008,148750,38.479553,-121.46331699999999
SACRAMENTO,7044 CARTHY WAY,95828,CA,4,2,1146,Residential,Wed May 21 00:00:00 EDT 2008,149593,38.49857,-121.420925
SACRAMENTO,2442 LARKSPUR LN,95825,CA,1,1,760,Condo,Wed May 21 00:00:00 EDT 2008,150000,38.58514,-121.40373600000001
SACRAMENTO,4800 WESTLAKE PKWY Unit 2109,95835,CA,2,2,1304,Condo,Wed May 21 00:00:00 EDT 2008,152000,38.658812,-121.542345
SACRAMENTO,2178 63RD AVE,95822,CA,3,2,1207,Residential,Wed May 21 00:00:00 EDT 2008,154000,38.493955,-121.48966000000001
ELK GROVE,8718 ELK WAY,95624,CA,3,2,1056,Residential,Wed May 21 00:00:00 EDT 2008,156896,38.41653,-121.379653
ANTELOPE,5708 RIDGEPOINT DR,95843,CA,2,2,1043,Residential,Wed May 21 00:00:00 EDT 2008,161250,38.72027,-121.33155500000001
NORTH HIGHLANDS,7315 KOALA CT,95660,CA,4,2,1587,Residential,Wed May 21 00:00:00 EDT 2008,161500,38.699251000000004,-121.37141399999999
SACRAMENTO,2622 ERIN DR,95833,CA,4,1,1120,Residential,Wed May 21 00:00:00 EDT 2008,164000,38.613765,-121.488694
SACRAMENTO,8421 SUNBLAZE WAY,95823,CA,4,2,1580,Residential,Wed May 21 00:00:00 EDT 2008,165000,38.450542999999996,-121.432538
SACRAMENTO,7420 ALIX PKWY,95823,CA,4,1,1955,Residential,Wed May 21 00:00:00 EDT 2008,166357,38.489405,-121.45281100000001
SACRAMENTO,3820 NATOMA WAY,95838,CA,4,2,1656,Residential,Wed May 21 00:00:00 EDT 2008,166357,38.636748,-121.42215900000001
SACRAMENTO,4431 GREEN TREE DR,95823,CA,3,2,1477,Residential,Wed May 21 00:00:00 EDT 2008,168000,38.499953999999995,-121.45446899999999
ELK GROVE,9417 SARA ST,95624,CA,3,2,1188,Residential,Wed May 21 00:00:00 EDT 2008,170000,38.415518,-121.370527
SACRAMENTO,8299 HALBRITE WAY,95828,CA,4,2,1590,Residential,Wed May 21 00:00:00 EDT 2008,173000,38.473814000000004,-121.4
SACRAMENTO,7223 KALLIE KAY LN,95823,CA,3,2,1463,Residential,Wed May 21 00:00:00 EDT 2008,174250,38.477553,-121.419463
SACRAMENTO,8156 STEINBECK WAY,95828,CA,4,2,1714,Residential,Wed May 21 00:00:00 EDT 2008,174313,38.474853,-121.406326
SACRAMENTO,7957 VALLEY GREEN DR,95823,CA,3,2,1185,Residential,Wed May 21 00:00:00 EDT 2008,178480,38.465184,-121.434925
GALT,1122 WILD POPPY CT,95632,CA,3,2,1406,Residential,Wed May 21 00:00:00 EDT 2008,178760,38.287789000000004,-121.294715
SACRAMENTO,4520 BOMARK WAY,95842,CA,4,2,1943,Multi-Family,Wed May 21 00:00:00 EDT 2008,179580,38.665724,-121.358576
SACRAMENTO,9012 KIEFER BLVD,95826,CA,3,2,1172,Residential,Wed May 21 00:00:00 EDT 2008,181000,38.547011,-121.36621699999999
CARMICHAEL,5332 SANDSTONE ST,95608,CA,3,1,1152,Residential,Wed May 21 00:00:00 EDT 2008,181872,38.662105,-121.31394499999999
SACRAMENTO,5993 SAWYER CIR,95823,CA,4,3,1851,Residential,Wed May 21 00:00:00 EDT 2008,182587,38.4473,-121.43521799999999
ANTELOPE,4844 CLYDEBANK WAY,95843,CA,3,2,1215,Residential,Wed May 21 00:00:00 EDT 2008,182716,38.714609,-121.34788700000001
GALT,306 CAMELLIA WAY,95632,CA,3,2,1130,Residential,Wed May 21 00:00:00 EDT 2008,182750,38.260443,-121.29786399999999
ORANGEVALE,9021 MADISON AVE,95662,CA,4,2,1603,Residential,Wed May 21 00:00:00 EDT 2008,183200,38.664186,-121.21751100000002
GALT,404 6TH ST,95632,CA,3,1,1479,Residential,Wed May 21 00:00:00 EDT 2008,188741,38.251808000000004,-121.302493
SACRAMENTO,8317 SUNNY CREEK WAY,95823,CA,3,2,1420,Residential,Wed May 21 00:00:00 EDT 2008,189000,38.459041,-121.424644
SACRAMENTO,2617 BASS CT,95826,CA,3,2,1280,Residential,Wed May 21 00:00:00 EDT 2008,192067,38.560767,-121.377471
ELK GROVE,7005 TIANT WAY,95758,CA,3,2,1586,Residential,Wed May 21 00:00:00 EDT 2008,194000,38.422810999999996,-121.423285
ANTELOPE,7895 CABER WAY,95843,CA,3,2,1362,Residential,Wed May 21 00:00:00 EDT 2008,194818,38.711279,-121.393449
SACRAMENTO,7624 BOGEY CT,95828,CA,4,4,2162,Multi-Family,Wed May 21 00:00:00 EDT 2008,195000,38.480090000000004,-121.415102
SACRAMENTO,6930 HAMPTON COVE WAY,95823,CA,3,2,1266,Residential,Wed May 21 00:00:00 EDT 2008,198000,38.44004,-121.421012
ELK GROVE,8708 MESA BROOK WAY,95624,CA,4,2,1715,Residential,Wed May 21 00:00:00 EDT 2008,199500,38.44076,-121.385792
FOLSOM,120 GRANT LN,95630,CA,3,2,1820,Residential,Wed May 21 00:00:00 EDT 2008,200000,38.687742,-121.17103999999999
CARMICHAEL,5907 ELLERSLEE DR,95608,CA,3,1,936,Residential,Wed May 21 00:00:00 EDT 2008,200000,38.664468,-121.32683
SACRAMENTO,17 SERASPI CT,95834,CA,0,0,0,Residential,Wed May 21 00:00:00 EDT 2008,206000,38.631481,-121.50188
SACRAMENTO,170 PENHOW CIR,95834,CA,3,2,1511,Residential,Wed May 21 00:00:00 EDT 2008,208000,38.653439,-121.535169
SACRAMENTO,8345 STAR THISTLE WAY,95823,CA,4,2,1590,Residential,Wed May 21 00:00:00 EDT 2008,212864,38.454349,-121.43923899999999
ELK GROVE,9080 FRESCA WAY,95758,CA,4,2,1596,Residential,Wed May 21 00:00:00 EDT 2008,221000,38.427818,-121.424026
SACRAMENTO,391 NATALINO CIR,95835,CA,2,2,1341,Residential,Wed May 21 00:00:00 EDT 2008,221000,38.67307,-121.506373
ELK GROVE,8373 BLACKMAN WAY,95624,CA,5,3,2136,Residential,Wed May 21 00:00:00 EDT 2008,223058,38.435435999999996,-121.39453600000002
ELK GROVE,9837 CORTE DORADO CT,95624,CA,4,2,1616,Residential,Wed May 21 00:00:00 EDT 2008,227887,38.400676000000004,-121.38101
SACRAMENTO,5037 J PKWY,95823,CA,3,2,1478,Residential,Wed May 21 00:00:00 EDT 2008,231477,38.491399,-121.443547
RANCHO CORDOVA,10245 LOS PALOS DR,95670,CA,3,2,1287,Residential,Wed May 21 00:00:00 EDT 2008,234697,38.593699,-121.31088999999999
CITRUS HEIGHTS,6613 NAVION DR,95621,CA,4,2,1277,Residential,Wed May 21 00:00:00 EDT 2008,235000,38.702855,-121.31308
SACRAMENTO,2887 AZEVEDO DR,95833,CA,4,2,1448,Residential,Wed May 21 00:00:00 EDT 2008,236000,38.618457,-121.50943899999999
SACRAMENTO,9186 KINBRACE CT,95829,CA,4,3,2235,Residential,Wed May 21 00:00:00 EDT 2008,236685,38.463355,-121.35893600000001
MATHER,4243 MIDDLEBURY WAY,95655,CA,3,2,2093,Residential,Wed May 21 00:00:00 EDT 2008,237800,38.547990999999996,-121.280483
RIO LINDA,1028 FALLON PLACE CT,95673,CA,3,2,1193,Residential,Wed May 21 00:00:00 EDT 2008,240122,38.693818,-121.441153
ELK GROVE,4804 NORIKER DR,95757,CA,3,2,2163,Residential,Wed May 21 00:00:00 EDT 2008,242638,38.400974,-121.448424
SACRAMENTO,7713 HARVEST WOODS DR,95828,CA,3,2,1269,Residential,Wed May 21 00:00:00 EDT 2008,244000,38.478198,-121.41291100000001
SACRAMENTO,2866 KARITSA AVE,95833,CA,0,0,0,Residential,Wed May 21 00:00:00 EDT 2008,244500,38.626671,-121.52597
SACRAMENTO,6913 RICHEVE WAY,95828,CA,3,1,958,Residential,Wed May 21 00:00:00 EDT 2008,244960,38.502519,-121.42076899999999
ELK GROVE,8636 TEGEA WAY,95624,CA,5,3,2508,Residential,Wed May 21 00:00:00 EDT 2008,245918,38.443832,-121.38208700000001
CITRUS HEIGHTS,5448 MAIDSTONE WAY,95621,CA,3,2,1305,Residential,Wed May 21 00:00:00 EDT 2008,250000,38.665395000000004,-121.29328799999999
ELK GROVE,18 OLLIE CT,95758,CA,4,2,1591,Residential,Wed May 21 00:00:00 EDT 2008,250000,38.444909,-121.412345
CARMICHAEL,4010 ALEX LN,95608,CA,2,2,1326,Condo,Wed May 21 00:00:00 EDT 2008,250134,38.637028,-121.31296299999998
ELK GROVE,4901 MILLNER WAY,95757,CA,3,2,1843,Residential,Wed May 21 00:00:00 EDT 2008,254200,38.38692,-121.447349
SACRAMENTO,4818 BRITTNEY LEE CT,95841,CA,4,2,1921,Residential,Wed May 21 00:00:00 EDT 2008,254200,38.653917,-121.34218
ELK GROVE,5529 LAGUNA PARK DR,95758,CA,5,3,2790,Residential,Wed May 21 00:00:00 EDT 2008,258000,38.42568,-121.43806200000002
SACRAMENTO,230 CANDELA CIR,95835,CA,3,2,1541,Residential,Wed May 21 00:00:00 EDT 2008,260000,38.656251,-121.547572
SACRAMENTO,4900 71ST ST,95820,CA,3,1,1018,Residential,Wed May 21 00:00:00 EDT 2008,260014,38.53151,-121.421089
RANCHO CORDOVA,12209 CONSERVANCY WAY,95742,CA,0,0,0,Residential,Wed May 21 00:00:00 EDT 2008,263500,38.553867,-121.219141
SACRAMENTO,4236 NATOMAS CENTRAL DR,95834,CA,3,2,1672,Condo,Wed May 21 00:00:00 EDT 2008,265000,38.648879,-121.544023
POLLOCK PINES,5615 LUPIN LN,95726,CA,3,2,1380,Residential,Wed May 21 00:00:00 EDT 2008,265000,38.708315,-120.603872
SACRAMENTO,5625 JAMES WAY,95822,CA,3,1,975,Residential,Wed May 21 00:00:00 EDT 2008,271742,38.523947,-121.484946
SACRAMENTO,7842 LAHONTAN CT,95829,CA,4,3,2372,Residential,Wed May 21 00:00:00 EDT 2008,273750,38.472976,-121.318633
SACRAMENTO,6850 21ST ST,95822,CA,3,2,1446,Residential,Wed May 21 00:00:00 EDT 2008,275086,38.502194,-121.49079499999999
POLLOCK PINES,2900 BLAIR RD,95726,CA,2,2,1284,Residential,Wed May 21 00:00:00 EDT 2008,280908,38.75485,-120.60476000000001
SACRAMENTO,2064 EXPEDITION WAY,95832,CA,4,3,3009,Residential,Wed May 21 00:00:00 EDT 2008,280987,38.474099,-121.490711
SACRAMENTO,2912 NORCADE CIR,95826,CA,8,4,3612,Multi-Family,Wed May 21 00:00:00 EDT 2008,282400,38.559505,-121.36483899999999
ELK GROVE,9507 SEA CLIFF WAY,95758,CA,4,2,2056,Residential,Wed May 21 00:00:00 EDT 2008,285000,38.410992,-121.47904299999999
ELK GROVE,8882 AUTUMN GOLD CT,95624,CA,4,2,1993,Residential,Wed May 21 00:00:00 EDT 2008,287417,38.4439,-121.37255
ELK GROVE,5322 WHITE LOTUS WAY,95757,CA,3,2,1857,Residential,Wed May 21 00:00:00 EDT 2008,291000,38.391538,-121.442596
SACRAMENTO,1838 CASTRO WAY,95818,CA,2,1,1126,Residential,Wed May 21 00:00:00 EDT 2008,292024,38.556098,-121.49078700000001
SACRAMENTO,10158 CRAWFORD WAY,95827,CA,4,4,2213,Multi-Family,Wed May 21 00:00:00 EDT 2008,297000,38.5703,-121.315735
ELK GROVE,7731 MASTERS ST,95758,CA,5,3,2494,Residential,Wed May 21 00:00:00 EDT 2008,297000,38.442031,-121.410873
ELK GROVE,4925 PERCHERON DR,95757,CA,3,2,1843,Residential,Wed May 21 00:00:00 EDT 2008,298000,38.401540000000004,-121.447649
GOLD RIVER,2010 PROMONTORY POINT LN,95670,CA,2,2,1520,Residential,Wed May 21 00:00:00 EDT 2008,299000,38.62869,-121.261669
SACRAMENTO,4727 SAVOIE WAY,95835,CA,5,3,2800,Residential,Wed May 21 00:00:00 EDT 2008,304037,38.658182000000004,-121.549521
ELK GROVE,8664 MAGNOLIA HILL WAY,95624,CA,4,2,2309,Residential,Wed May 21 00:00:00 EDT 2008,311000,38.442352,-121.389675
SACRAMENTO,9570 HARVEST ROSE WAY,95827,CA,5,3,2367,Residential,Wed May 21 00:00:00 EDT 2008,315537,38.555993,-121.340352
RANCHO CORDOVA,4359 CREGAN CT,95742,CA,5,4,3516,Residential,Wed May 21 00:00:00 EDT 2008,320000,38.545128000000005,-121.22492199999999
RANCHO CORDOVA,5337 DUSTY ROSE WAY,95742,CA,0,0,0,Residential,Wed May 21 00:00:00 EDT 2008,320000,38.528575,-121.2286
SACRAMENTO,8929 SUTTERS GOLD DR,95826,CA,4,3,1914,Residential,Wed May 21 00:00:00 EDT 2008,328360,38.550847999999995,-121.370224
ORANGEVALE,8025 PEERLESS AVE,95662,CA,2,1,1690,Residential,Wed May 21 00:00:00 EDT 2008,334150,38.71147,-121.216214
ELK GROVE,4620 WELERA WAY,95757,CA,3,3,2725,Residential,Wed May 21 00:00:00 EDT 2008,335750,38.398609,-121.450148
ELK GROVE,9723 TERRAPIN CT,95757,CA,4,3,2354,Residential,Wed May 21 00:00:00 EDT 2008,335750,38.403492,-121.430224
SACRAMENTO,2115 SMOKESTACK WAY,95833,CA,0,0,0,Residential,Wed May 21 00:00:00 EDT 2008,339500,38.602416,-121.542965
FOLSOM,100 REBECCA WAY,95630,CA,3,2,2185,Residential,Wed May 21 00:00:00 EDT 2008,344250,38.68479,-121.149199
ELK GROVE,9488 OAK VILLAGE WAY,95758,CA,4,2,1801,Residential,Wed May 21 00:00:00 EDT 2008,346210,38.41333,-121.404999
SACRAMENTO,8495 DARTFORD DR,95823,CA,3,3,1961,Residential,Wed May 21 00:00:00 EDT 2008,347029,38.448507,-121.421346
ELK GROVE,6708 PONTA DO SOL WAY,95757,CA,4,2,3134,Residential,Wed May 21 00:00:00 EDT 2008,347650,38.380635,-121.42553799999999
SACRAMENTO,4143 SEA MEADOW WAY,95823,CA,4,3,1915,Residential,Wed May 21 00:00:00 EDT 2008,351300,38.465340000000005,-121.45751899999999
EL DORADO HILLS,3020 RICHARDSON CIR,95762,CA,3,2,0,Residential,Wed May 21 00:00:00 EDT 2008,352000,38.691299,-121.08175200000001
SACRAMENTO,8082 LINDA ISLE LN,95831,CA,0,0,0,Residential,Wed May 21 00:00:00 EDT 2008,370000,38.4772,-121.5215
RANCHO MURIETA,15300 MURIETA SOUTH PKWY,95683,CA,4,3,2734,Residential,Wed May 21 00:00:00 EDT 2008,370500,38.4874,-121.075129
WILTON,11215 SHARRMONT CT,95693,CA,3,2,2110,Residential,Wed May 21 00:00:00 EDT 2008,372000,38.35062,-121.228349
ELK GROVE,7105 DANBERG WAY,95757,CA,5,3,3164,Residential,Wed May 21 00:00:00 EDT 2008,375000,38.4019,-121.42038799999999
SACRAMENTO,5579 JERRY LITELL WAY,95835,CA,5,3,3599,Residential,Wed May 21 00:00:00 EDT 2008,381300,38.677126,-121.500519
SACRAMENTO,1050 FOXHALL WAY,95831,CA,4,2,2054,Residential,Wed May 21 00:00:00 EDT 2008,381942,38.509819,-121.51966100000001
ANTELOPE,7837 ABBINGTON WAY,95843,CA,4,2,1830,Residential,Wed May 21 00:00:00 EDT 2008,387731,38.709872999999995,-121.339472
SACRAMENTO,1300 F ST,95814,CA,3,3,1627,Residential,Wed May 21 00:00:00 EDT 2008,391000,38.58355,-121.48728899999999
ELK GROVE,6801 RAWLEY WAY,95757,CA,4,3,3440,Residential,Wed May 21 00:00:00 EDT 2008,394470,38.408351,-121.423925
GREENWOOD,1693 SHELTER COVE DR,95635,CA,3,2,2846,Residential,Wed May 21 00:00:00 EDT 2008,395000,38.945357,-120.908822
ELK GROVE,9361 WADDELL LN,95624,CA,4,3,2359,Residential,Wed May 21 00:00:00 EDT 2008,400186,38.450829,-121.349928
SACRAMENTO,10 SEA FOAM CT,95831,CA,3,3,2052,Residential,Wed May 21 00:00:00 EDT 2008,415000,38.487885,-121.545947
ELK GROVE,6945 RIO TEJO WAY,95757,CA,5,3,3433,Residential,Wed May 21 00:00:00 EDT 2008,425000,38.385638,-121.42261599999999
RANCHO CORDOVA,4186 TULIP PARK WAY,95742,CA,5,3,3615,Residential,Wed May 21 00:00:00 EDT 2008,430000,38.550616999999995,-121.23526000000001
ELK GROVE,9278 DAIRY CT,95624,CA,0,0,0,Residential,Wed May 21 00:00:00 EDT 2008,445000,38.420338,-121.363757
FOLSOM,207 ORANGE BLOSSOM CIR Unit C,95630,CA,5,3,2687,Residential,Wed May 21 00:00:00 EDT 2008,460000,38.646273,-121.175322
ELK GROVE,6507 RIO DE ONAR WAY,95757,CA,4,3,2724,Residential,Wed May 21 00:00:00 EDT 2008,461000,38.382529999999996,-121.42800700000001
ELK GROVE,7004 RAWLEY WAY,95757,CA,4,3,3440,Residential,Wed May 21 00:00:00 EDT 2008,489332,38.406421,-121.422081
ELK GROVE,6503 RIO DE ONAR WAY,95757,CA,5,4,3508,Residential,Wed May 21 00:00:00 EDT 2008,510000,38.382529999999996,-121.42803799999999
FOLSOM,2217 APPALOOSA CT,95630,CA,4,2,2462,Residential,Wed May 21 00:00:00 EDT 2008,539000,38.655167,-121.09017800000001
FOLSOM,868 HILDEBRAND CIR,95630,CA,0,0,0,Residential,Wed May 21 00:00:00 EDT 2008,585000,38.670947,-121.097727
EL DORADO HILLS,6030 PALERMO WAY,95762,CA,4,3,0,Residential,Wed May 21 00:00:00 EDT 2008,600000,38.672761,-121.05037800000001
EL DORADO HILLS,4070 REDONDO DR,95762,CA,4,3,0,Residential,Wed May 21 00:00:00 EDT 2008,606238,38.666807,-121.06483
SACRAMENTO,4004 CRESTA WAY,95864,CA,3,3,2325,Residential,Wed May 21 00:00:00 EDT 2008,660000,38.591618,-121.370626
EL DORADO HILLS,315 JUMEL CT,95762,CA,6,5,0,Residential,Wed May 21 00:00:00 EDT 2008,830000,38.669931,-121.05958000000001
CITRUS HEIGHTS,6272 LONGFORD DR Unit 1,95621,CA,2,1,795,Condo,Tue May 20 00:00:00 EDT 2008,69000,38.680923,-121.31394499999999
SACRAMENTO,3432 Y ST,95817,CA,4,2,1099,Residential,Tue May 20 00:00:00 EDT 2008,70000,38.554967,-121.468046
ELK GROVE,9512 EMERALD PARK DR Unit 3,95624,CA,2,1,840,Condo,Tue May 20 00:00:00 EDT 2008,71000,38.40573,-121.369832
SACRAMENTO,3132 CLAY ST,95815,CA,2,1,800,Residential,Tue May 20 00:00:00 EDT 2008,78000,38.624678,-121.439203
SACRAMENTO,5221 38TH AVE,95824,CA,2,1,746,Residential,Tue May 20 00:00:00 EDT 2008,78400,38.518044,-121.443555
SACRAMENTO,6112 HERMOSA ST,95822,CA,3,1,1067,Residential,Tue May 20 00:00:00 EDT 2008,80000,38.515125,-121.48041599999999
SACRAMENTO,483 ARCADE BLVD,95815,CA,4,2,1316,Residential,Tue May 20 00:00:00 EDT 2008,89000,38.623571000000005,-121.454884
SACRAMENTO,671 SONOMA AVE,95815,CA,3,1,1337,Residential,Tue May 20 00:00:00 EDT 2008,90000,38.622953,-121.450142
SACRAMENTO,5980 79TH ST,95824,CA,2,1,868,Residential,Tue May 20 00:00:00 EDT 2008,90000,38.518373,-121.41177900000001
SACRAMENTO,7607 ELDER CREEK RD,95824,CA,3,1,924,Residential,Tue May 20 00:00:00 EDT 2008,92000,38.51055,-121.414768
SACRAMENTO,5028 14TH AVE,95820,CA,2,1,610,Residential,Tue May 20 00:00:00 EDT 2008,93675,38.53942,-121.446894
RANCHO MURIETA,14788 NATCHEZ CT,95683,CA,0,0,0,Residential,Tue May 20 00:00:00 EDT 2008,97750,38.492287,-121.10003200000001
SACRAMENTO,1069 ACACIA AVE,95815,CA,2,1,1220,Residential,Tue May 20 00:00:00 EDT 2008,98000,38.621998,-121.44223799999999
ELK GROVE,5201 LAGUNA OAKS DR Unit 199,95758,CA,1,1,722,Condo,Tue May 20 00:00:00 EDT 2008,98000,38.423251,-121.44448899999999
SACRAMENTO,3847 LAS PASAS WAY,95864,CA,3,1,1643,Residential,Tue May 20 00:00:00 EDT 2008,99000,38.588671999999995,-121.373916
ELK GROVE,5201 LAGUNA OAKS DR Unit 172,95758,CA,1,1,722,Condo,Tue May 20 00:00:00 EDT 2008,100000,38.423251,-121.44448899999999
GALT,1121 CREEKSIDE WAY,95632,CA,3,1,1080,Residential,Tue May 20 00:00:00 EDT 2008,106716,38.241514,-121.31219899999999
SACRAMENTO,5307 CABRILLO WAY,95820,CA,3,1,1039,Residential,Tue May 20 00:00:00 EDT 2008,111000,38.527120000000004,-121.435348
NORTH HIGHLANDS,3725 DON JULIO BLVD,95660,CA,3,1,1051,Residential,Tue May 20 00:00:00 EDT 2008,111000,38.67895,-121.379406
SACRAMENTO,4803 MCCLOUD DR,95842,CA,2,2,967,Residential,Tue May 20 00:00:00 EDT 2008,114800,38.682279,-121.35281699999999
RANCHO CORDOVA,10542 SILVERWOOD WAY,95670,CA,3,1,1098,Residential,Tue May 20 00:00:00 EDT 2008,120108,38.587156,-121.295778
SACRAMENTO,6318 39TH AVE,95824,CA,3,1,1050,Residential,Tue May 20 00:00:00 EDT 2008,123225,38.518941999999996,-121.430158
SACRAMENTO,211 MCDANIEL CIR,95838,CA,3,2,1110,Residential,Tue May 20 00:00:00 EDT 2008,123750,38.636565000000004,-121.46038300000001
NORTH HIGHLANDS,3800 LYNHURST WAY,95660,CA,3,1,888,Residential,Tue May 20 00:00:00 EDT 2008,125000,38.650445,-121.37486100000001
SACRAMENTO,6139 HERMOSA ST,95822,CA,3,2,1120,Residential,Tue May 20 00:00:00 EDT 2008,125000,38.514665,-121.480411
ELVERTA,2505 RHINE WAY,95626,CA,3,2,1080,Residential,Tue May 20 00:00:00 EDT 2008,126000,38.717976,-121.407684
NORTH HIGHLANDS,3692 PAYNE WAY,95660,CA,3,1,957,Residential,Tue May 20 00:00:00 EDT 2008,129000,38.666540000000005,-121.378298
SACRAMENTO,604 MORRISON AVE,95838,CA,2,1,952,Residential,Tue May 20 00:00:00 EDT 2008,134000,38.637678,-121.452476
